date,B.1.1.318,B.1.1.529,B.1.1.7,B.1.351,B.1.525,B.1.526,B.1.617.1,B.1.617.2,C.37,P.1,P.2
01/12/2020,0,0,0.1,0,0,0,0,0,0,0,0
02/12/2020,0,0,0.1,0,0,0,0,0,0,0,0
03/12/2020,0,0,0.1,0,0,0,0,0,0,0,0
04/12/2020,0.1,0,0.1,0,0,0,0,0,0,0,0
05/12/2020,0.1,0,0.1,0,0,0,0,0,0,0,0
06/12/2020,0.1,0,0.1,0,0,0,0,0,0,0,0.1
07/12/2020,0.1,0,0.1,0,0,0,0,0,0,0,0.1
08/12/2020,0.1,0,0.1,0,0,0,0,0,0,0,0.1
09/12/2020,0.1,0,0.3,0,0,0,0,0,0,0,0.1
10/12/2020,0.1,0,0.3,0,0,0,0,0,0,0,0.1
11/12/2020,0,0,0.2,0.1,0,0,0,0,0,0,0.1
12/12/2020,0,0,0.2,0.1,0,0,0,0,0,0,0.1
13/12/2020,0,0,0.3,0.1,0,0,0,0,0,0,0
14/12/2020,0,0,0.4,0.1,0,0,0,0,0,0,0
15/12/2020,0,0,0.4,0.1,0,0,0,0,0,0,0
16/12/2020,0,0,0.1,0.1,0,0,0,0,0,0,0
17/12/2020,0,0,0.1,0.1,0,0,0,0,0,0,0
18/12/2020,0,0,0.1,0,0,0,0,0,0,0,0
19/12/2020,0,0,0.1,0,0,0,0,0,0,0,0
20/12/2020,0,0,0,0,0,0,0,0,0,0,0
21/12/2020,0,0,0.1,0,0,0,0,0,0,0,0
22/12/2020,0,0,0.1,0,0,0,0,0,0,0,0
23/12/2020,0,0,0.6,0,0,0,0,0,0,0,0
24/12/2020,0,0,0.8,0,0,0,0,0,0,0,0
25/12/2020,0,0,1,0,0,0,0,0,0,0,0
26/12/2020,0,0,1.1,0.1,0,0,0,0,0,0,0
27/12/2020,0,0,1.3,0.1,0,0,0,0,0,0,0
28/12/2020,0,0,1.6,0.1,0,0,0,0,0,0,0
29/12/2020,0,0,3.9,0.1,0,0,0,0,0,0,0
30/12/2020,0,0,3.6,0.2,0,0,0,0.1,0,0,0
31/12/2020,0,0,3.6,0.2,0,0,0,0.1,0,0,0
01/01/2021,0,0,3.7,0.2,0,0,0,0.1,0,0,0
02/01/2021,0,0,4.2,0.2,0,0,0,0.1,0,0,0
03/01/2021,0,0,4.2,0.2,0,0,0,0.1,0,0,0.1
04/01/2021,0,0,4.6,0.2,0,0,0,0.1,0,0,0.1
05/01/2021,0,0,3.1,0.1,0,0,0,0.2,0,0,0.1
06/01/2021,0,0,3.4,0,0,0,0,0.1,0,0,0.1
07/01/2021,0,0,4.1,0.2,0,0,0,0.1,0,0,0.3
